class,tweet
1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #OldYoung | Old bitch pleases hot-looking young stud http://t.co/aIDKdmztLn"
1,"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard"
1,&#128514;&#128514;&#128514;&#128514; bitch if you're the hobbit you need to let me know right now &#128514;&#128514;&#128514;&#128514;&#128079;&#128079;&#128079;
1,"""@HoskinsTy96: White boy power bitch"" black power bitch"
1,"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol"
2,#Yankees #Jeter Let him play the entire inning. That's fitting.
1,"""@Poffalicious: Andrewbryant: Poff has double vision after 2 beers
214,1,""@Poobie_: When bitches TWERK on the computer...."
1,"""@splurgb_: Nothin in life is free.. Some of you bitches need to write that on ya panties""&#128557;&#128514;"
1,"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck"
2,"""@g0rillaz0e: Sitting on my window sill, window open, bird tries to fly in. Smacked it. #ProtectTheAnimals"" @peta"
1,"""@iDntWearCondoms: Watch women try to argue with me like they have a dick and actually fucked some pussy before"" I hate when bitches do that"
1,"""@TheoMaxximus: Chrus still supahot tho"" *walks up to teacher with test, drops test in that bitch fohead* http://t.co/nb5VgdssgI"
2,"""OVO"" &#8220;@Allthingsfresh3: &amp; kendrick lamar still trash&#8221;"
1,"""Have you seen my shows? Have you seen my hoes? If I wasn't hot would they be so thick?"""
1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
2,"""You hit no lights, no line for toco bell at 2 in he morning, and Diana's back in her house. It's a miracle"" - Charlie @dianaaaxo"
1,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up"
2,"#Yankees 3, #Astros 0: McCarthy outduels Keuchel in series finale http://t.co/hIJJAUKtJN"
1,"""She said wigga man you rich...take the du-rag off"" http://t.co/jb7J3zSbam"
1,"""@Montrell_: I'm tired of bitches saying I look mean.. &#128530;"" nigga you big af, wear tight shirts, and grim everybody."
2,"#HolySpirit Joshua 1:3 Every place that the sole of your foot shall tread upon, that have I given unto you, as I said unto Moses."
1,"""If you're a bad bitch put your hands up high"" 
507,1,""Imma tie that bitch up in the basement and donkey-fuck her ass for two weeks straight"""" hahahahahahahahaha #50centmovie #beforeiselfdestruct"""
1,"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig"
1,""" yall niggas b cuffing hoes cause yall aint never have bitches """
1,"""@Patsfanjoe32: @d_palomino52 I think worst advice I gave you was "" don't be a pussy and speed up"" lol"""
1,"""@WannabeKanye: whys this bitch boosting herself http://t.co/uOd2f5WtKV""

Her size isn't exactly the most healthy tho"
1,"""You ain't my bitch"" is my favorite response to long texts"
1,"""Like... correct me if I'm wrong but... Doesn't pimpin involve 'smackin bitches for money'?"""
1,"""He wanna be my nigga, but I'm just trinna be his savings account &#128553;"" &#128514;&#128557;&#128514;&#128557; omg imma funny ass bitch man, but that's Real Shit &#128175;"
1,""" broke bitch cant tell me nothing """
1,"""Facto @ShaunaSayomi: Who cares if you a hoe when your ass looks like this? http://t.co/CJdT987aqf"""
0,"""@ashlingwilde: @ItsNotAdam is bored supposed to be cute, you faggot?"" Sometimes"
1,""" like Snoop said in 94 we dont love these hoes """
1,&#128064; RT @PrettyDamAmazin: These bitches started shooting at my party. Fuck New Orleans
1,"""@analicialouise: Tevin is my favorite sophomore I think he's so funny"" Hes really not. Lmaoo hes a little hoe"
1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Hairy | Hairy pussy http://t.co/9DOIbSkT17"
1,"""Yo mama, bitch."" RT @TheAceTJShow: What was the ONE sentence that ended your relationship?"
2,"#BlessJesus Amos 3:3 - Can two walk together, except they be agreed?"
1,"""@StellaTex: Guess what? I also have zero time for your mansplaining! Adios!"" Stfu pussy"
1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Ebony | ebony texas bbw with big deep pussy http://t.co/dBbxsoW8M2"
2,"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT"
1,"""dont show me no bitch unless she look like Dolly Parton!!!"""
1,"""@TheNewSAT: #NewSATQuestions
254,1,""@TheNymphoTweets: Hickies in between her thighs right by her pussy &gt;&gt;&gt;"""" Its only right"""
1,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;"
1,"""@ortiz_jaylene: All I see is Bruno's bitch ass on my twitter now. wtf"" Bruno's all that she sees (Drake voice)"
0,"""Who the fuck you callin jiggaboo, nigga?!"""
1,"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up"""
1,"""@TweetGameLazy: I can ride your bitch with no handle bars"""
1,"""I'm feelin like Malcolm in the middle, these bitches surround me they can't miss em"""
1,#YesWeDid .....tattoo our bitches to corrupt as many men as possible to #Egypt and being a #cattle #prod #vote&gt;
1,#honeybadger bitch
0,"""My grandma used to call me a porch monkey all the time... Come to think of it she did refer to a broken bottle as a nigger knife"" &#128563;"
1,"""@Sylvieamx: #Pisces will never be anybody's bitch, they don't let people control or change them."" Rigghhht"
1,&#128175; RT @DammitHamm_: Loyal pussy .
1,"""It's allegations, were u in the bedroom? Did u see it?"" Words of a naive &amp; blind bitch. We know ur husband cheated on u. Ramona is dumb!!!"
1,"""Eat the pussy like a real nigga hungry"""
1,"""@k_eazy26: Facts what baldheaded bitch made this shit. &#128074;&#128074;&#128555;&#128530; http://t.co/fDYojpT9Xg""
355,1,""@kayreneeee_: Fuck wit us and then we tweakin hoe"""" shmurda!"""
1,&#128095;&#128095;&#128095;&#128095; got ur bitch tip toeing on my marble floors.......
1,"&#128073; RT @OeauxMar: Nigga was smashing his hoe, had his hoe paying for a condo and he still with her &#128514;&#128514;&#128514;&#128514; Yep Fucboy"
2,"""@MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm"" #Climate"
2,#Yankees I went to Golds with Cruz in 2010 when he was a Sound. No upper /lower body strength.. Hmm now 40 HR hitter. Won't say the S word.
1,#OOMEF had that YEAH!!... i kno she pussy whipped that other nigga into putting a ring on it.... &#128564;&#128564;
1,"""@whoiscoreyking: Chase money &#128176; not &#128581; hoes &#128111; &#128175;&#128175;""&#58399;&#58399;&#58399;&#58399;"
1,"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!"
1,""" young Pill Chamberlain these bitches love my music """
1,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;"
1,"""Why would I want to play with some pussy?"" - @jimmyfallon *DEAD* #SNL"
1,"""Dropped a stack cause bitch I'm ON"".
440,1,""Dumb bitches do dumb things"""""""
2,"""@QUAN1T0: 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now."""
2,"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup"
1,"""I'm gonna piss on your dimple @SoNi99a_: Stop wasting prayers on trash teams lol"""
1,"""omg this bitch is fucking stupid I swear blah blah blah"" *a week later* omg ilysm bae ur my best friend I swear"
1,"""whatever you are, be a good one."" -Abraham Lincoln, this quote is not for yall hoes!"
1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #XXX | homemade pussy eating &#8211; http://t.co/2yuIdrLN3k http://t.co/Z8GAiWlLye"
1,"""Everything look better with a bitch next to it"""
1,"""@iCrawley: I could never have a bby by a lil dick Thts y I got a abortion by the last bitch""- oh My God"
1,&#128514;&#128514;&#128514;&#128514; RT @SMASHaVelli: Murda out here sucking bitches &#128514;&#128514;&#128514;&#128514; #howDhow?
1,&#128514;&#128514; &#8220;@mcdonavins: Of course cooder's nudes are trash. She lives in the DMV what did you expect? &#128514;&#128514;&#128514;.&#8221;
1,"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *"
2,#AskDems Aren't you embarrassed that Charlie Rangel remains in your caucus?
1,"""call me Keyshawn Johnson cause im catchin erry hoe"""
1,"""@_BeeDontCare My pussy still fresh"" &lt;----- something stank girls say."
1,"""@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back"""
2,#IU 8 straight nation #college soccer champions! Wow! #hoosiernation #hoosiers &#9917;&#127942;
2,#tbt my precious gook baby &#128525;&#128525;&#128525;&#128525;&#128525;&#128525; @outtapocketjuju http://t.co/2QJLJj6tK5
1,#DegenerateArtist Isn't a bitch walks back his words&gt; Isn't a WITCH who questions a TURD&gt; I'm a GLITCH WHO EVOLVES YOUR ABSURD!!!!!!!!!!!
1,#Bartending becomes a real bitch when you the #bartender are way way taller than the bar was designed for. Holy back pains.
1,#BurnNotice Fi shoots bean bag rounds at the guy - Hurts like a bitch don't they?
2,#Iraq gov troops were handed a severe defeat by #ISIS at Saqlawiya -- there's chatter of over 300 soldiers lost &amp; Jihadis raving about it
1,"""@jaimescudi_: ""@Tonybthrz_: ""@jaimescudi_: I swear if oomf try talking to me tomorrow.."" @"" @BarackObama"" pussy"
1,#RuinADessert @midnight Fairy Queen. nomg&gt; I fucked #Obama panties again...............
2,"""YAH"" has said in his word that the Mtzra'ym(egyptians) are his people and Ysrah'al is his inheritance and the Kushite(ethiopians)....."
1,"""I call him my bitch"" @MaKennaM_"
1,"""Fuck 5/0 I make my own rules. Suck my dragon balls bitch call me goku"""
2,#BlessJesusAir Matthew 6:26 Look at the birds of the air.. and yet your heavenly Father feeds them.Are you not much more valuable than they?
1,"""@marackaf: &#8220;@white_thunduh: Aye yall ima tryout for the bowling team frfr&#8221; tryouts passed tho"" no theres two more retard"
1,"""@RiahSM: #hoesaintloyal"" well they're hoes,no one expects them to be loyal"
1,"""@lildurk_: I don't trust dese hoes Nikki told 51st where I stay at all my fans screen shot ASAP"" we finna come to Chiraq and shoot sumn"
1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Desi | Spicy Oriental Paki Brunette sucks an un http://t.co/OrP642PomF"
1,&#128073;RT @Str8_no_Chazer: Bet y'all bitches was deaf to MC Lyte's words about being treated like a queen huh
1,"""@SmeegBaby: Dese hoes be LYIN to all of us nigga"""
2,#stateoftheunion would last 15mins if they let the President talk all that standing up clapping is for the birds
2,"""Your teeth are like the stars."" ""Aww thanks!"" ""Yeah... yellow and far away from each other."""
1,"""Baby I like being on your left side"" no bitch you can't be there Cuz the street on that side and Twitter said I ain't real if you do"
1,""" i spend my money how i want bitch its my business """
1,"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle"
0,"#AZmonsoon lot of rain, too bad it wasn't enough to wash away the teabagger racist white trash in the state. #Tcot #teaparty #azflooding"
1,"""no pussy, or not tryna go to the studio, don't CALL my mufuckin crib like that, god. Yo. Word up god I will BUSS YO SHIT, god, word up"""
1,"""day of judgement everybody gonna be looking at the big jumbotron watching me fuck this majjinn buu bitch"""
1,"#DUH @Transhuman_: That's because they're possibly tucking a penis ""@EmperorIra: This bitch got man boobs http://t.co/VJvXwLrJoP""&#8221;"""
1,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;"
1,"""if she can suck your dick with a dip in, she's not only a keeper but a true redneck woman."" - Kim's Dad."
1,#AsAGiraffes pussy http://t.co/YaaTsF52tu
1,#CelebrityLeakedPhotos YEAH&gt; NOW YOU KNOW how it feels knowing the #NSA is on all our phones. Quit whining like #muslim #bitches.
2,#tbt when i took my likkle monkey jimmys http://t.co/LIK3xpZ6eZ
1,"""@datFullerkid: @TreVaughnLG yall both gimped up??"" Ain't tht a bitch huh lol"
1,"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit"""
1,&#128514;&#128514;&#128514; &#8220;@snapbackBLAC: i seen a thot ass bitch in some high top whites&#8221;
1,"""@soxandjox: Thick raw fuck http://t.co/g8RvUHCeBN"" Damn his man pussy is getting a workout."
1,"""@ozzie_garza: @white_thunduh I'm about to cool faggot chill"" tf is cool nigga"
1,"""Eff it. Let's go after the cripple."" http://t.co/kSaMx1JPfV"
2,#inners Still hanging in. #Yankees we need this win. NFL. It's not SUNDAY!!
1,#SplashGang on you pussy n%a'z ay @Benny_Balboa i tried to tell n%a'z!!!
2,"""I'll slit your throat-neck"" http://t.co/ChFFSDeDdd"
0,"""@jgabsss: Stacey Dash won &#128166; http://t.co/PDLG46rjOL"" baddest bitch evaaaa"
1,"""But I need a bad bitch that's hotter than me"" might be the realist shit PartyNextDoor ever said. That's how I be feelin everyday"
1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Fisting | Whipped Cream Fisting http://t.co/b4JCMCtEwq"
1,"""No bitches "" - nan"
0,"#TrayvonMartin referred to Zimmerman as a ""creepy ass cracker"". Racist thug."
1,&#128514;&#128514;&#128514;&#128514; these folks so bad. I'm just here to talk trash.
2,#WorldSeriesGame3 Hunter Pence is so annoying he should be a Red Sox player. Shave fool and take your Vyvanse&#9918;&#65039;&#9918;&#65039;&#128074;&#128074;#Yankees 2015!!
1,"""Don't you ever give my pussy away. You keep it tight, alright?"""
1,"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy"
1,"#inktober #twentysix #gouache #mt snappy pappy and his bitch 3.5x2.5"" good thing sable paintbrushes&#8230; http://t.co/4gYBEI5Mkl"
1,"""Yo bitch on the horn. Tryna shoot a porn."" - @KingL That's T shirt worthy Tony"
1,"""@iAMPickUpLines: You can call me Fireman cause I turn the hoes on."""
1,#HonestyHour in middle school hoes used to call me a Mandingo warrior
1,&#128514; RT @LaShana_Sinead: Mimi too old to be covering her titties during sex&#128514;&#128514;&#128514; bitch you childish
2,"""@WBUR: A smuggler explains how he helped fighters along the ""Jihadi Highway"": http://t.co/UX4anxeAwd"""
1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Latina | Latina mature Big pussy http://t.co/D4ICvCz1Bk"
1,"""@__sneakyb: I hate when boys deny that they have bitches &#128080;&#128553;"" smh"
0,#firefighter is a job for white trash
1,"""@RnadJorell: Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo"
1,#illNeverUnderstandWhy anyone from Jersey Shore is famous. I should go be a guido shitbag if it means money for my family.
1,"""don't let your side bitch settle in, I might have to headbutt you Evelyn"""
1,#agreed &#58399;&#58399; RT @oliviaMrose: There are a few badd ones but idk..mixxed bitches is really where its at tho
1,"""@snoleezey801: I don't ever expose females like that.. That's childish.."" bitch nigga shiiii....."
1,"#QuestionIAskMySelf why should I be slapping this hoe tuh solve something, ima leave it alone..............I never usually listen to myself"
1,"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot"
2,"""when rappers say twat it makes me feel weird"" &#128514;&#128514;&#128514;&#128557;"
1,"""This is for all the fans that waited, the bitch niggas that hated / Old hoes we dated, look mama, we&#8230; http://t.co/sNRY6A7VYB"
1,"""@TreLeKidd: Yo bitch is Gucci Mane RT @JabariTheGreat : My bitch a stoner &#128175;&#128175; http://t.co/lt9LIJjpg9""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;"
1,"""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do"
1,"""My nips are freeeeezing...and that's not okay because they're slicing through my bra....""
529,1,""My twitter was hacked"""" = I'm too pussy to admit that I said it and now I want to act like I never said it."""
2,"""Brownies for my brownie"" I love this movie. &#128517;"
1,#IfWeDate i eat da pussy better than a lesbian.
1,#throwback to being bitches &amp; drinking Mikes bc we sucked @AutumnMaye http://t.co/jfCthdEDcz
1,"""...Son of a bitch took my Tic Tacs.""
59,1,""..All I wanna do is get money and fuck model bitches!"""" - Russell Simmons"""
1,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b"
1,"""Niggas always yelling ""Fuck bitches, Get money"" meanwhile they're broke and still want the bitches&#8230;."""
1,"""And bitch you must be lost"" &#128514;&#128514;"
2,"""@SportsCenter: USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. &#187; http://t.co/JOOsdSubIR"" he's a bitch"
1,&#128073; RT @OfficiallyIce: #GuiltyPleasure watching niggers fight on YouTube/Vine/IG
1,"""@YunGMiGo: @Shane_A1 cinco shit harder fucc nigga""yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca"
1,&#128073; RT @_WSBG: I'd rather be called nigger than a uncle tom or a mark
1,"""You are a cunt"""
2,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol"
2,"""@worldtraveIs: Baby albino &#128034; http://t.co/2tYTQJ3fec"" @Meeeesh1395"
1,#vegas #bitch http://t.co/wbAqQ5vFpd
1,"""Don't know no ugly bitches! Don't know no broke niggas!""--@Kevin_Gates"
1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #HandJob | Hand job and cum on rubber pussy http://t.co/zGcnmR2kLA"
1,"""Yup. Fuck em @Aloha_Hoesss: Playing like trash RT @80sbaby4life Clippers don't wanna play lol"""
1,"""@midyWIDEY_: I'm rea start smacking bitches period !"" Bluffin at its best"
0,"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo"
1,"""I'm comparing KFC to the pussy"" @MaxOn_MaxOff5"
1,"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?"
1,"""bitch my vagina is a little more resilient than that"" -@rosestokoe"
1,"""@MegamindNick: @white_thunduh nah fam I gotta cheat with the hoes"" depends on the female i feel"
2,"""@UberFacts: 15 sad TV character deaths we're still bitter over... http://t.co/uLclFUF8nC http://t.co/1RXYQOOsM0""ned stark was the man"
1,"""@MileyCyrus: bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752;"" dis why i love miley :*"
2,"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles"
1,"""@KissMySmilee: Don't got time for bitches to be actin iffy."""
2,#FireCashman Why?? Because I am having to root for the Royals in October. #Yankees
1,"""@UnHoly_Jack: These harbor bitches are all ""Party Bus hoes"""" Lol all?"
1,"""@_iwantfranny: He's a hoe , I can't"""
1,"$3 bud Lites and $4 well shots at the bar tn, plus I'm giving away a trip to Las Vegas. So if you're not a cunt come visit me at Bourbon St"
1,"""@fuckcamoclark: Roses are red and violets are blue and niggers are black, you know that's true."" @dylan72892"
1,#Remake with #granny DCYOUNGFLY Dirtymoney24 #TeamIgnat #HoodComedy damn that bitch a BAB!!!! that's a Big ... https://t.co/mgr10pz8iJ
1,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;
2,#Yankees I ain't complaining about the Royals win or lose game7. They showed heart. AL ride or die! No flex zone. They earned it!
1,&#128165;&#128162; on the pussy http://t.co/mWXQnjm4So
1,"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha"
1,&#128514;&#128514; bitches get stuff done. http://t.co/GvFpk65ah5
2,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao"
1,"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL"
2,"""You look like little birds help you get dressed in the morning"""
1,"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;"
2,#WeAreRepublicNotRegime #POTUS BO violated USA sovereignty w/open border/Jihadis/criminal/diseased/Haitians/S.Americans #ImpeachObama
1,""" bad bitches is the only thing that i like """
1,"""For every bad bitch there is a nigga tired of fucking her"""
1,"""Virgin pussy "" () "" , regular pussy "" ( ) "" , Oomf pussy (_________________________)"
1,"""Why would you want pussy on your side burns?.. Thats a good question"" @_hy0ung hahahahaha &#128514;"
0,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad"
1,"""@jSadass: loud bitches annoy me"""
0,&#128514; &#8220;@BossmobbE: Racist all month .. Fuck u honkey&#8221;
2,"#IndigenousPeoplesDay .........right. Because these #redskins had a lot of #queens, right? nomg. #sofunny"
0,"""@jayswaggkillah: Jackies a retard #blondeproblems"" At least I can make a grilled cheese!"
